DATE,employees_construction
2000-01,6752
2000-02,6730
2000-03,6811
2000-04,6794
2000-05,6770
2000-06,6778
2000-07,6794
2000-08,6796
2000-09,6807
2000-10,6814
2000-11,6817
2000-12,6792
2001-01,6824
2001-02,6841
2001-03,6862
2001-04,6844
2001-05,6849
2001-06,6840
2001-07,6845
2001-08,6827
2001-09,6813
2001-10,6804
2001-11,6784
2001-12,6785
2002-01,6775
2002-02,6766
2002-03,6755
2002-04,6710
2002-05,6684
2002-06,6701
2002-07,6688
2002-08,6701
2002-09,6702
2002-10,6689
2002-11,6713
2002-12,6700
2003-01,6704
2003-02,6667
2003-03,6654
2003-04,6689
2003-05,6706
2003-06,6723
2003-07,6735
2003-08,6760
2003-09,6783
2003-10,6784
2003-11,6796
2003-12,6827
2004-01,6848
2004-02,6838
2004-03,6887
2004-04,6901
2004-05,6948
2004-06,6962
2004-07,6977
2004-08,7003
2004-09,7029
2004-10,7077
2004-11,7091
2004-12,7117
2005-01,7095
2005-02,7153
2005-03,7181
2005-04,7266
2005-05,7294
2005-06,7333
2005-07,7353
2005-08,7394
2005-09,7415
2005-10,7460
2005-11,7524
2005-12,7533
2006-01,7601
2006-02,7664
2006-03,7689
2006-04,7726
2006-05,7713
2006-06,7699
2006-07,7712
2006-08,7720
2006-09,7718
2006-10,7682
2006-11,7666
2006-12,7685
2007-01,7725
2007-02,7626
2007-03,7706
2007-04,7686
2007-05,7673
2007-06,7687
2007-07,7660
2007-08,7610
2007-09,7577
2007-10,7565
2007-11,7523
2007-12,7490
2008-01,7476
2008-02,7453
2008-03,7406
2008-04,7327
2008-05,7274
2008-06,7213
2008-07,7160
2008-08,7114
2008-09,7044
2008-10,6967
2008-11,6813
2008-12,6701
2009-01,6567
2009-02,6446
2009-03,6291
2009-04,6154
2009-05,6100
2009-06,6010
2009-07,5932
2009-08,5855
2009-09,5787
2009-10,5716
2009-11,5696
2009-12,5654
2010-01,5580
2010-02,5500
2010-03,5537
2010-04,5553
2010-05,5520
2010-06,5516
2010-07,5508
2010-08,5524
2010-09,5501
2010-10,5508
2010-11,5506
2010-12,5467
2011-01,5427
2011-02,5451
2011-03,5477
2011-04,5485
2011-05,5516
2011-06,5528
2011-07,5547
2011-08,5552
2011-09,5584
2011-10,5588
2011-11,5593
2011-12,5611
2012-01,5626
2012-02,5629
2012-03,5625
2012-04,5618
2012-05,5604
2012-06,5621
2012-07,5632
2012-08,5648
2012-09,5661
2012-10,5674
2012-11,5684
2012-12,5724
2013-01,5746
2013-02,5784
2013-03,5802
2013-04,5796
2013-05,5829
2013-06,5855
2013-07,5859
2013-08,5878
2013-09,5910
2013-10,5931
2013-11,5963
2013-12,5932
2014-01,5985
2014-02,6007
2014-03,6038
2014-04,6084
2014-05,6109
2014-06,6133
2014-07,6178
2014-08,6210
2014-09,6242
2014-10,6259
2014-11,6272
2014-12,6293
2015-01,6320
2015-02,6361
2015-03,6334
2015-04,6392
2015-05,6427
2015-06,6441
2015-07,6472
2015-08,6490
2015-09,6508
2015-10,6547
2015-11,6598
2015-12,6630
2016-01,6631
2016-02,6640
2016-03,6678
2016-04,6702
2016-05,6689
2016-06,6701
2016-07,6735
2016-08,6736
2016-09,6768
2016-10,6799
2016-11,6823
2016-12,6818
2017-01,6840
2017-02,6881
2017-03,6902
2017-04,6916
2017-05,6931
2017-06,6962
2017-07,6968
2017-08,7002
2017-09,7013
2017-10,7031
2017-11,7068
2017-12,7091
2018-01,7093
2018-02,7184
2018-03,7194
2018-04,7212
2018-05,7274
2018-06,7292
2018-07,7318
2018-08,7347
2018-09,7375
2018-10,7389
2018-11,7386
2018-12,7396
2019-01,7424
2019-02,7396
2019-03,7422
2019-04,7459
2019-05,7486
2019-06,7511
2019-07,7525
2019-08,7530
2019-09,7551
2019-10,7556
2019-11,7545
2019-12,7528
2020-01,7580
2020-02,7608
2020-03,7539
2020-04,6527
2020-05,7009
2020-06,7170
2020-07,7195
2020-08,7225
2020-09,7256
2020-10,7310
2020-11,7317
2020-12,7355
2021-01,7363
2021-02,7291
2021-03,7395
2021-04,7406
2021-05,7394
2021-06,7400
2021-07,7415
2021-08,7431
2021-09,7472
2021-10,7514
2021-11,7560
2021-12,7594
2022-01,7590
2022-02,7669
2022-03,7692
2022-04,7698
2022-05,7736
2022-06,7749
2022-07,7773
2022-08,7781
2022-09,7797
2022-10,7814
2022-11,7833
2022-12,7859
